D,Lat,Lon
14,-60.8,162.2
13.9,-12.5,308.9
13.9,11,238.5
13.9,30.2,31.2
13.9,-6.4,30.9
13.9,-47,184.8
13.8,2.1,170.2
13.6,-27.3,138.7
13.6,60,273.1
13.6,51.4,291.8
13.5,-33.3,276.4
13.5,-46.6,285.6
13.5,49.8,134
13.5,25.6,336
13.4,10.6,326.4
13.3,27.5,280.3
13.3,-17.9,214.7
13.3,20.9,98.8
13.2,6,93.3
13.2,-63.5,56.5
13.1,-9,278
13.1,68.4,91
13.1,-4.8,359.2
13.1,-64.2,232.1
13,-19.8,202.6
13,-62,70.9
13,24.3,253
13,-19.3,232.6
13,36.7,1.7
13,-68.2,243.6
12.9,32.1,94.8
12.9,-2.3,159.7
12.8,41.1,67
12.8,10.6,346.3
12.7,-28.6,60
12.6,-9.3,152.8
12.6,6,331.9
12.5,-29.5,205.9
12.5,51.4,201.6
12.5,-6,1.9
12.4,75.6,96.3
12.4,57.2,144.1
12.4,-30.3,249.2
12.4,44.8,254.6
12.4,-47.5,187.2
12.3,18.4,101.9
12.3,-68.2,121.2
12.2,-46.5,306.4
12.2,-62.9,15.5
12.2,14.9,86.5
12.2,12.8,117
12.2,-68.1,193.2
12.2,30.8,172.9
12.2,11.4,347.7
12.1,-40.7,14.8
12.1,5.6,273.3
12.1,34.4,19.2
12.1,-59,248.4
12,-5,97.7
12,-49.2,55.5
12,-41.2,251.7
12,-21.4,335.2
12,65.1,299.1
12,-69.9,319.9
12,-74.5,211.9
12,-46,229.2
11.9,-33.3,280.2
11.9,-26.5,88.2
11.9,-44.8,225.6
11.9,-20.4,357.2
11.9,12.7,9.2
11.9,-62.8,144.4
11.8,-9.3,157
11.8,-48.7,13.5
11.8,51.1,335.9
11.7,1.6,283.9
11.7,-11.2,48.7
11.7,9.7,132.1
11.7,64.1,160.4
11.6,62.2,29
11.6,-15.3,85
11.6,-41.4,8.9
11.6,-31.1,46.5
11.6,-66.5,270.5
11.5,-50.1,158.1
11.5,50.9,242.6
11.5,33.7,185.1
11.5,68.5,155.9
11.4,-25.6,150.2
11.4,26.3,332.7
11.4,6.3,333.5
11.4,-51.7,348.3
11.3,-13.7,302.3
11.3,10.7,206.9
11.3,-49,275.9
11.3,41.9,22
11.3,-46.2,157.7
11.3,-39.1,97.2
11.2,-23.3,132.9
11.2,-14.5,278.9
11.2,12.4,82.7
11.2,64.4,104.5
11.2,-23.5,198.2
11.2,-74.6,195
11.2,37.2,207.9
11.2,-50.9,122
11.1,61.6,317.2
11.1,-30.9,293.3
11.1,-37.3,10.6
11.1,7.8,152.7
11.1,-21.1,303.9
11.1,-6.8,334.1
11.1,2.9,262.6
11,-27.9,0.6
11,67,272.9
11,48.8,113.1
11,15.5,124
11,40.4,149.4
11,53.5,187.3
11,28.1,106.9
10.9,-27,7.8
10.9,-12.4,307.3
10.9,37.5,22.9
10.8,-1.5,129.8
10.8,-11.8,298
10.8,51.3,333.3
10.8,23.5,165.4
10.8,-12.4,17.7
10.8,53.5,172.6
10.8,0.9,338.7
10.7,-7.7,102
10.7,-14,87.7
10.7,-68.2,315.3
10.6,-15.8,267
10.6,12.2,132.4
10.6,-22.7,318.4
10.6,4.9,170.9
10.6,-41.7,238.1
10.5,67,329.7
10.5,-26.1,169
10.5,28.4,250.1
10.5,34.9,205.8
10.5,-57.2,151.9
10.5,59.1,215.4
10.4,7.4,249.6
10.3,-0.8,87.4
10.3,0,142.6
10.3,61.6,267.7
10.3,-36.1,240.4
10.3,12.4,124.5
10.3,-51.5,184.6
10.2,-18.9,109.2
10.2,-12.4,2.8
10.2,72,175.4
10.2,80,229.7
10.1,-62.4,33.8
10.1,-62.2,178.6
10.1,-45.3,348.8
10,87.3,259
10,7.8,57.6
10,-60.4,304.8
10,21.2,160.2
9.9,38.1,226.6
9.9,31.3,317.7
9.8,59,23.2
9.8,28.2,302
9.8,-69,72
9.7,-10.1,91.1
9.7,-36.3,312.6
9.6,-12.1,5.4
9.6,29.7,155.5
9.6,29.5,113.4
9.5,-65,234.1
9.5,28.2,60
9.5,-35.7,68.7
9.5,9.3,358
9.4,-30.5,34
9.4,57.8,285.7
9.4,2.9,5
9.3,-12.3,90.1
9.3,-2,135.7
9.3,55,53.6
9.3,-10.8,161.4
9.3,-28.4,224
9.3,43.9,103.4
9.3,-33,162.9
9.2,-4.6,99.8
9.2,71.1,100.7
9.2,16.4,352.1
9.2,26.5,334.6
9.1,-10.4,116.7
9.1,72.7,235.6
9.1,-65.1,315.9
9.1,59.9,143.5
9.1,44.2,73.7
9,22.6,192.1
9,-38.2,331.4
9,27.4,230.1
9,13.5,293.3
9,-67.1,241.9
8.9,-10,83.3
8.9,-47.5,211.7
8.9,21.2,76.5
8.9,-75.1,94.5
8.9,57,186.8
8.8,-39.3,110
8.8,10.5,286.5
8.8,6.6,25.2
8.8,28.5,14.6
8.8,34.4,346.5
8.8,13.3,336.7
8.7,-16,225.4
8.7,-54.8,305.4
8.6,71,334.8
8.6,-29.5,108
8.6,-64,107.6
8.6,6.2,166.8
8.5,20.4,350.1
8.5,-39.5,69.1
8.4,-53.4,61.9
8.4,-43.8,70.3
8.4,-76.8,205
8.3,-72.3,65.9
8.3,-35.8,179
8.3,49.8,75.4
8.3,40.8,199.5
8.2,-33.9,63.4
8.1,13.2,168.6
8.1,51.4,121.9
8,-35.4,11.3
8,18.7,8.3
8,-34,234.8
8,11.9,352
8,-14.1,318.5
8,48.3,259.3
8,42,320
8,62.9,175.6
7.9,-8.8,317.6
7.8,6.2,97.4
7.8,5.1,297.6
7.8,45.8,134.7
7.8,58.5,185.3
7.7,-4.2,286.3
7.7,-42.4,125.1
7.7,15,32.3
7.7,8,148
7.7,49.9,81.1
7.6,-30.4,166.5
7.6,-42.6,303.4
7.6,14,208
7.6,45.3,5.6
7.6,50.3,357.5
7.6,10.5,286.5
7.6,-57.7,298.7
7.6,42.7,156.3
7.5,25.1,285.2
7.5,72.1,99.9
7.5,-75.7,88.1
7.5,-15.9,68.4
7.5,-5.3,358.3
7.5,-48.4,100.7
7.5,15.9,331.7
7.5,50,323.9
7.4,26,356.8
7.4,-42.7,329.1
7.4,6.2,282.6
7.4,-62.1,153
7.3,-49.4,70
7.3,46.5,123.1
7.3,17.3,75.2
7.3,-75.9,300.1
7.2,26.7,16.4
7.2,6,299.2
7.2,11.9,214.7
7.2,-11.2,13.5
7.2,40.7,138.2
7.2,-43.9,55
7.1,16.7,313.5
7.1,-66.5,234.1
7.1,32.4,106
7,-15.1,135.6
7,-12.3,210.9
7,54.2,139.4
7,29,182
7,-32.7,193.7
7,-44.1,258.9
7,10.9,149
7,-54.9,312.7
7,-58.5,196.3
7,30.1,307.8
6.9,60.7,88.6
6.9,53.3,75.1
6.9,-74.4,129.9
6.9,-53,192.4
6.9,-40.5,345.2
6.9,26.5,10
6.8,64.6,333.9
6.8,-34.5,281.2
6.8,-23.3,195.4
6.7,80.6,105.5
6.7,-9,202.5
6.7,19.6,65.8
6.7,-53.3,198.6
6.7,-8.7,22.9
6.7,-55.4,129
6.7,66.1,178
6.6,-2.6,272.3
6.6,2.4,145.1
6.6,7.6,155.7
6.6,34.7,357
6.5,78.6,336.8
6.5,-24.6,347.9
6.4,-54.1,55
6.4,-0.2,146.5
6.4,21.9,37.2
6.4,22.7,31.5
6.4,20.6,69.4
6.4,-53.9,135.2
6.4,42.6,349.5
6.3,-25.5,158.7
6.3,-29.6,258.6
6.3,32.6,208.7
6.3,13.1,4.3
6.3,-25.3,239.8
6.3,34.6,5.5
6.3,61.2,154.1
6.2,-1.2,24.6
6.2,-56.2,295.3
6.1,35.2,287.3
6.1,-58.6,18.1
6.1,-26.8,329.2
6.1,18.4,294.3
6.1,42.7,226.8
6.1,17.5,314.5
6.1,16.5,334.4
6,22.7,58
6,-14.7,359.5
6,50.6,179.3
6,27.8,108
5.9,-22.5,343.4
5.9,40,290
5.9,-61.3,182.7
5.9,35.8,164.4
5.9,-41.6,96.4
5.8,-1.3,156.5
5.8,-25.6,73
5.8,32.2,11.3
5.7,1.5,69.9
5.7,36.7,3.6
5.6,6.6,97.9
5.6,-8.9,58.4
5.6,22.5,207.7
5.6,55.1,350.6
5.6,2.6,50.4
5.5,-68.4,112
5.5,-51.8,132.6
5.5,23.8,74.7
5.4,27.3,289.8
5.4,-28,138.8
5.4,20,50.2
5.4,-30.4,76.4
5.3,5.8,84.3
5.3,38.2,280.5
5.3,68.8,271.1
5.3,15.3,23.5
5.3,28.6,244.1
5.2,-61,53.4
5.2,17,64.5
5.2,-20.4,58.8
5.1,-12.9,275.3
5.1,6.4,83.4
5.1,48.3,191.5
5.1,7.3,282
5.1,69.1,167
5,4.3,3.8
5,5,166.6
5,-15.9,60.7
4.9,73.5,172.9
4.9,51.8,108
4.9,-61,286.2
4.9,6.7,64.2
4.8,-14.7,184
4.8,55,124.5
4.7,-21.6,176.3
4.7,-27.3,114.3
4.7,60.6,359.9
4.7,-41.6,142.9
4.7,-25,48.3
4.7,-38.3,88.1
4.7,52.5,191.7
4.6,-46.3,126
4.6,-26.1,130.4
4.6,9.6,23
4.6,41.6,308.3
4.5,-5.7,232
4.5,-18.3,300.9
4.5,-48.7,354.9
4.4,40.3,105.9
4.4,6.4,272.2
4.4,-39.1,260.2
4.4,52.5,298.8
4.3,8.5,132.4
4.3,-73.9,195.5
4.3,-73.8,228.4
4.3,38.7,114.7
4.2,-30.5,149
4.2,7.9,74.2
4.2,27.5,341.8
4.2,-42,149.6
4.2,2,256.2
4.2,51.4,7.9
4.1,-26.6,167.9
4.1,-27.7,184.2
4.1,4.3,274.6
4.1,40.7,65.4
4,52.1,123.2
3.9,-10.4,248.4
3.9,43,150.9
3.8,42.7,141.7
3.8,10.4,136.5
3.8,80.9,229.2
3.7,-21,216.6
3.7,35.9,208.6
3.7,-56.9,160.6
3.7,13.2,112.8
3.6,15.1,116.8
3.6,-37.6,235.3
3.6,39.2,53.2
3.6,-3.1,169
3.6,11.9,132.3
3.6,-80.2,77.4
3.6,4.7,241.4
3.6,39.2,53.2
3.6,43.3,67.7
3.5,77.4,109
3.5,66.5,251.8
3.4,-25.1,311.2
3.3,-22.5,270
3.3,-10.3,327.6
3.3,8.3,267.7
3.2,-33.4,216.2
3.2,-38.7,359.1
3.1,22.6,94.1
3,-20.7,338.7
2.9,-5.9,46.6
2.9,67,297.2
2.8,27.3,277
2.8,-23,150.9
2.8,8.6,280.4
2.7,-6.4,274.1
2.7,29.6,135.4
2.6,-11.8,302.8
2.5,46.9,263.5
2.3,78.6,270.3
2.3,31.6,324.3
2.1,37.6,350.1
1.7,-65.1,257.3
1.5,-13.1,19.5
